strain,pred_pixel_shifted
2.000000000000000042e-03,-2.357080928329230440e-04
2.000000000000000042e-02,-2.357080928329216563e-03
4.000000000000000083e-02,-4.706148154116442106e-03
5.999999999999999778e-02,-7.004196168812065748e-03
8.000000000000000167e-02,-9.389168075720308315e-03
1.000000000000000056e-01,-1.172502911592921554e-02
1.199999999999999956e-01,-1.419640223735758183e-02
1.400000000000000133e-01,-1.662111366080762376e-02
1.600000000000000033e-01,-1.889818224701969585e-02
1.799999999999999933e-01,-2.191432474149031945e-02
2.000000000000000111e-01,-2.488910424366868462e-02
