strain,pred_pixel_shifted
2.000000000000000042e-03,-1.181215506681349003e-04
2.000000000000000042e-02,-1.181215506681369820e-03
4.000000000000000083e-02,-2.444561091713252921e-03
5.999999999999999778e-02,-4.050256365444072915e-03
8.000000000000000167e-02,-5.966807634774425051e-03
1.000000000000000056e-01,-8.377105586715415109e-03
1.199999999999999956e-01,-1.115633515109440421e-02
1.400000000000000133e-01,-1.447858274244770427e-02
1.600000000000000033e-01,-1.809814667431456497e-02
1.799999999999999933e-01,-2.241324708087863438e-02
2.000000000000000111e-01,-2.692139382224170707e-02
