strain,pred_pixel_shifted
2.000000000000000042e-03,-2.375961016381350488e-04
2.000000000000000042e-02,-2.375961016381350488e-03
4.000000000000000083e-02,-4.720048267271813314e-03
5.999999999999999778e-02,-7.169841717651122270e-03
8.000000000000000167e-02,-9.561419017983949220e-03
1.000000000000000056e-01,-1.187564613991674151e-02
1.199999999999999956e-01,-1.426518555437506636e-02
1.400000000000000133e-01,-1.679207324803230067e-02
1.600000000000000033e-01,-1.942977615872758940e-02
1.799999999999999933e-01,-2.228809831584307316e-02
2.000000000000000111e-01,-2.506113990254546509e-02
