strain,pred_pixel_shifted
2.000000000000000042e-03,-1.179099959816437559e-04
2.000000000000000042e-02,-1.179099959816451437e-03
4.000000000000000083e-02,-2.444902138879045950e-03
5.999999999999999778e-02,-4.043495272118828587e-03
8.000000000000000167e-02,-5.965329908499655831e-03
1.000000000000000056e-01,-8.365741321457224877e-03
1.199999999999999956e-01,-1.114107658858362604e-02
1.400000000000000133e-01,-1.444717769050422873e-02
1.600000000000000033e-01,-1.805429806668223253e-02
1.799999999999999933e-01,-2.236201155179666500e-02
2.000000000000000111e-01,-2.686410944560223280e-02
