strain,pred_pixel_shifted
2.000000000000000042e-03,-1.220636246638123756e-04
2.000000000000000042e-02,-1.220636246638130695e-03
4.000000000000000083e-02,-2.516655113033429425e-03
5.999999999999999778e-02,-4.069517242753249719e-03
8.000000000000000167e-02,-5.850318358265313434e-03
1.000000000000000056e-01,-7.989979522889815999e-03
1.199999999999999956e-01,-1.038949095980806758e-02
1.400000000000000133e-01,-1.322954402139112778e-02
1.600000000000000033e-01,-1.633850429646878377e-02
1.799999999999999933e-01,-1.975761971631289499e-02
2.000000000000000111e-01,-2.349615107307122946e-02
