strain,pred_pixel_shifted
2.000000000000000042e-03,-2.056002437370169078e-04
2.000000000000000042e-02,-2.056002437370189895e-03
4.000000000000000083e-02,-3.970024573350550146e-03
5.999999999999999778e-02,-5.664988546028468241e-03
8.000000000000000167e-02,-7.118367796228972089e-03
1.000000000000000056e-01,-8.648559218185081221e-03
1.199999999999999956e-01,-1.006258406953516871e-02
1.400000000000000133e-01,-1.173035254449265874e-02
1.600000000000000033e-01,-1.367657495032156834e-02
1.799999999999999933e-01,-1.554774263703236764e-02
2.000000000000000111e-01,-1.751298093406810502e-02
