strain,pred_pixel_shifted
2.000000000000000042e-03,-2.215797840494568294e-04
2.000000000000000042e-02,-2.215797840494568294e-03
4.000000000000000083e-02,-4.420226559229523122e-03
5.999999999999999778e-02,-6.634324911995427565e-03
8.000000000000000167e-02,-8.848553242961701426e-03
1.000000000000000056e-01,-1.093270098804147855e-02
1.199999999999999956e-01,-1.303288618316557346e-02
1.400000000000000133e-01,-1.522996026180028356e-02
1.600000000000000033e-01,-1.734684903086821522e-02
1.799999999999999933e-01,-1.969718102792339387e-02
2.000000000000000111e-01,-2.193282050964564384e-02
