strain,pred_pixel_shifted
2.000000000000000042e-03,-9.982515057741642162e-05
2.000000000000000042e-02,-9.982515057741642162e-04
4.000000000000000083e-02,-2.090638763074970097e-03
5.999999999999999778e-02,-3.564237553746643639e-03
8.000000000000000167e-02,-5.356237196131069522e-03
1.000000000000000056e-01,-7.614744688378520532e-03
1.199999999999999956e-01,-1.027082960597729827e-02
1.400000000000000133e-01,-1.358340663055434411e-02
1.600000000000000033e-01,-1.717893621561052825e-02
1.799999999999999933e-01,-2.133831635188393472e-02
2.000000000000000111e-01,-2.590534825983104722e-02
