strain,pred_pixel_shifted
2.000000000000000042e-03,-1.995031765320287587e-04
2.000000000000000042e-02,-1.995031765320308403e-03
4.000000000000000083e-02,-4.025684042249955130e-03
5.999999999999999778e-02,-5.831270059123740135e-03
8.000000000000000167e-02,-7.443211920634407175e-03
1.000000000000000056e-01,-9.254738312004059941e-03
1.199999999999999956e-01,-1.089691758729053467e-02
1.400000000000000133e-01,-1.282044710461982540e-02
1.600000000000000033e-01,-1.477817143253583321e-02
1.799999999999999933e-01,-1.693392299480985658e-02
2.000000000000000111e-01,-1.904328211239415813e-02
