strain,pred_pixel_shifted
2.000000000000000042e-03,-1.175515959934356203e-04
2.000000000000000042e-02,-1.175515959934370080e-03
4.000000000000000083e-02,-2.449370308319820388e-03
5.999999999999999778e-02,-4.061807469038530849e-03
8.000000000000000167e-02,-5.973738753728294326e-03
1.000000000000000056e-01,-8.382170916316662723e-03
1.199999999999999956e-01,-1.114819643296942331e-02
1.400000000000000133e-01,-1.444804902757771542e-02
1.600000000000000033e-01,-1.806212009676776836e-02
1.799999999999999933e-01,-2.236138175390411237e-02
2.000000000000000111e-01,-2.687466741291675426e-02
