strain,pred_pixel_shifted
2.000000000000000042e-03,-1.990875777926753853e-04
2.000000000000000042e-02,-1.990875777926739976e-03
4.000000000000000083e-02,-4.016527753531486111e-03
5.999999999999999778e-02,-5.818789750686968743e-03
8.000000000000000167e-02,-7.431717208920947393e-03
1.000000000000000056e-01,-9.240175193397690001e-03
1.199999999999999956e-01,-1.088853739855599051e-02
1.400000000000000133e-01,-1.280265444747576142e-02
1.600000000000000033e-01,-1.475385162841746922e-02
1.799999999999999933e-01,-1.690808812814450363e-02
2.000000000000000111e-01,-1.900347763531112094e-02
