strain,pred_pixel_shifted
2.000000000000000042e-03,-2.132704938483317991e-04
2.000000000000000042e-02,-2.132704938483317991e-03
4.000000000000000083e-02,-4.116387195621476480e-03
5.999999999999999778e-02,-5.702625752840799478e-03
8.000000000000000167e-02,-7.120054414868993986e-03
1.000000000000000056e-01,-8.663388846349727446e-03
1.199999999999999956e-01,-1.004497616770563123e-02
1.400000000000000133e-01,-1.162352563241986214e-02
1.600000000000000033e-01,-1.327724411926332893e-02
1.799999999999999933e-01,-1.513081804299397370e-02
2.000000000000000111e-01,-1.693185459492185796e-02
