strain,pred_pixel_shifted
2.000000000000000042e-03,-2.371346942407759339e-04
2.000000000000000042e-02,-2.371346942407759339e-03
4.000000000000000083e-02,-4.708179110336413453e-03
5.999999999999999778e-02,-7.166175139428632157e-03
8.000000000000000167e-02,-9.555992896893211741e-03
1.000000000000000056e-01,-1.186914112737012805e-02
1.199999999999999956e-01,-1.426360618972633693e-02
1.400000000000000133e-01,-1.679231320613654155e-02
1.600000000000000033e-01,-1.942736895409599707e-02
1.799999999999999933e-01,-2.227941668987816481e-02
2.000000000000000111e-01,-2.504680921516109354e-02
