strain,pred_pixel_shifted
2.000000000000000042e-03,-2.130904403731329055e-04
2.000000000000000042e-02,-2.130904403731342933e-03
4.000000000000000083e-02,-4.116311503486798362e-03
5.999999999999999778e-02,-5.704130332375489942e-03
8.000000000000000167e-02,-7.120015840559636155e-03
1.000000000000000056e-01,-8.674183727989663584e-03
1.199999999999999956e-01,-1.005421367537787103e-02
1.400000000000000133e-01,-1.163002152177685516e-02
1.600000000000000033e-01,-1.329566547674516236e-02
1.799999999999999933e-01,-1.514825381659378606e-02
2.000000000000000111e-01,-1.695090200639070427e-02
