strain,pred_pixel_shifted
2.000000000000000042e-03,-1.006698796109303795e-04
2.000000000000000042e-02,-1.006698796109289917e-03
4.000000000000000083e-02,-2.094129308716947968e-03
5.999999999999999778e-02,-3.569172140741670718e-03
8.000000000000000167e-02,-5.365202621007376937e-03
1.000000000000000056e-01,-7.621849272945555032e-03
1.199999999999999956e-01,-1.026574424679707609e-02
1.400000000000000133e-01,-1.356747031066886378e-02
1.600000000000000033e-01,-1.713374496583323914e-02
1.799999999999999933e-01,-2.128301543081799474e-02
2.000000000000000111e-01,-2.583157805207485225e-02
