strain,pred_pixel_shifted
2.000000000000000042e-03,-1.346051879504775450e-04
2.000000000000000042e-02,-1.346051879504782389e-03
4.000000000000000083e-02,-2.797682620377904550e-03
5.999999999999999778e-02,-4.558188511909713747e-03
8.000000000000000167e-02,-6.621508400990856746e-03
1.000000000000000056e-01,-9.161194142944938112e-03
1.199999999999999956e-01,-1.199715144214780899e-02
1.400000000000000133e-01,-1.530093868318616740e-02
1.600000000000000033e-01,-1.906182328853501390e-02
1.799999999999999933e-01,-2.346425396269615632e-02
2.000000000000000111e-01,-2.789258714959203661e-02
