strain,pred_pixel_shifted
2.000000000000000042e-03,-1.350810424550832889e-04
2.000000000000000042e-02,-1.350810424550819011e-03
4.000000000000000083e-02,-2.809767390884301830e-03
5.999999999999999778e-02,-4.560401125493135366e-03
8.000000000000000167e-02,-6.620694727199470664e-03
1.000000000000000056e-01,-9.156916138790584248e-03
1.199999999999999956e-01,-1.196961630847563629e-02
1.400000000000000133e-01,-1.525343251155594770e-02
1.600000000000000033e-01,-1.899217549145024164e-02
1.799999999999999933e-01,-2.336638713414068702e-02
2.000000000000000111e-01,-2.775979733610208638e-02
