strain,pred_pixel_shifted
2.000000000000000042e-03,-1.347193216495248813e-04
2.000000000000000042e-02,-1.347193216495269630e-03
4.000000000000000083e-02,-2.794919831275874400e-03
5.999999999999999778e-02,-4.546850781230155070e-03
8.000000000000000167e-02,-6.611615896275777060e-03
1.000000000000000056e-01,-9.152204013805342875e-03
1.199999999999999956e-01,-1.198165414580980304e-02
1.400000000000000133e-01,-1.527871097559234392e-02
1.600000000000000033e-01,-1.903498384528931608e-02
1.799999999999999933e-01,-2.343549292834045533e-02
2.000000000000000111e-01,-2.783713622608238042e-02
