strain,pred_pixel_shifted
2.000000000000000042e-03,-2.200109616556297776e-04
2.000000000000000042e-02,-2.200109616556325531e-03
4.000000000000000083e-02,-4.401374671938504402e-03
5.999999999999999778e-02,-6.612102081210463611e-03
8.000000000000000167e-02,-8.820363129451253004e-03
1.000000000000000056e-01,-1.090184498983267497e-02
1.199999999999999956e-01,-1.299722526372306536e-02
1.400000000000000133e-01,-1.518617375601460928e-02
1.600000000000000033e-01,-1.731211203997796988e-02
1.799999999999999933e-01,-1.965369474913091635e-02
2.000000000000000111e-01,-2.188783086839654612e-02
