strain,pred_pixel_shifted
2.000000000000000042e-03,-2.345849893021605126e-04
2.000000000000000042e-02,-2.345849893021594718e-03
4.000000000000000083e-02,-4.764675968331914119e-03
5.999999999999999778e-02,-7.135959887413414332e-03
8.000000000000000167e-02,-9.425347865942606401e-03
1.000000000000000056e-01,-1.162844256919397593e-02
1.199999999999999956e-01,-1.402977697874109933e-02
1.400000000000000133e-01,-1.627009065578164868e-02
1.600000000000000033e-01,-1.840869939509693146e-02
1.799999999999999933e-01,-2.078705806620518778e-02
2.000000000000000111e-01,-2.327118753714143770e-02
