strain,pred_pixel_shifted
2.000000000000000042e-03,-2.193372391977171931e-04
2.000000000000000042e-02,-2.193372391977171931e-03
4.000000000000000083e-02,-4.394178650838263811e-03
5.999999999999999778e-02,-6.606026176044450804e-03
8.000000000000000167e-02,-8.810036838415892524e-03
1.000000000000000056e-01,-1.088533404425889167e-02
1.199999999999999956e-01,-1.299008098262174199e-02
1.400000000000000133e-01,-1.517755488494385019e-02
1.600000000000000033e-01,-1.729869613186380689e-02
1.799999999999999933e-01,-1.964699151997165855e-02
2.000000000000000111e-01,-2.188604167718419258e-02
