strain,pred_pixel_shifted
2.000000000000000042e-03,-1.219031236645920502e-04
2.000000000000000042e-02,-1.219031236645913563e-03
4.000000000000000083e-02,-2.507729685131770969e-03
5.999999999999999778e-02,-4.061024724523465412e-03
8.000000000000000167e-02,-5.837155311973242500e-03
1.000000000000000056e-01,-7.973911388136238620e-03
1.199999999999999956e-01,-1.037061851711262861e-02
1.400000000000000133e-01,-1.322346098447704094e-02
1.600000000000000033e-01,-1.632833895644995870e-02
1.799999999999999933e-01,-1.974775381928438323e-02
2.000000000000000111e-01,-2.348608736519315621e-02
