strain,pred_pixel_shifted
2.000000000000000042e-03,-1.358312523368765401e-04
2.000000000000000042e-02,-1.358312523368758462e-03
4.000000000000000083e-02,-2.801544093752751652e-03
5.999999999999999778e-02,-4.563319954566748271e-03
8.000000000000000167e-02,-6.625366781213601342e-03
1.000000000000000056e-01,-9.158714448284595300e-03
1.199999999999999956e-01,-1.198338897838805567e-02
1.400000000000000133e-01,-1.528442196692537253e-02
1.600000000000000033e-01,-1.902266387673037795e-02
1.799999999999999933e-01,-2.341525655966691932e-02
2.000000000000000111e-01,-2.781575880113981020e-02
