strain,pred_pixel_shifted
2.000000000000000042e-03,-1.010945873212362733e-04
2.000000000000000042e-02,-1.010945873212355794e-03
4.000000000000000083e-02,-2.103360716379946982e-03
5.999999999999999778e-02,-3.581129668401329680e-03
8.000000000000000167e-02,-5.375624892232630514e-03
1.000000000000000056e-01,-7.640912573904715122e-03
1.199999999999999956e-01,-1.029345330157697969e-02
1.400000000000000133e-01,-1.359549161032600623e-02
1.600000000000000033e-01,-1.718689162151432193e-02
1.799999999999999933e-01,-2.134552215877888459e-02
2.000000000000000111e-01,-2.590963271281095798e-02
