strain,pred_pixel_shifted
2.000000000000000042e-03,-1.221807998591228905e-04
2.000000000000000042e-02,-1.221807998591256661e-03
4.000000000000000083e-02,-2.512357603926478056e-03
5.999999999999999778e-02,-4.068091165980378121e-03
8.000000000000000167e-02,-5.847360184021904717e-03
1.000000000000000056e-01,-7.983144598002131498e-03
1.199999999999999956e-01,-1.037658520837957815e-02
1.400000000000000133e-01,-1.321274694074099643e-02
1.600000000000000033e-01,-1.631202049103609025e-02
1.799999999999999933e-01,-1.973796757380476274e-02
2.000000000000000111e-01,-2.346258554007107922e-02
