strain,pred_pixel_shifted
2.000000000000000042e-03,-1.234721943438252256e-04
2.000000000000000042e-02,-1.234721943438245317e-03
4.000000000000000083e-02,-2.529543002460409029e-03
5.999999999999999778e-02,-4.087404784789347434e-03
8.000000000000000167e-02,-5.873051750857741227e-03
1.000000000000000056e-01,-8.014662838572245152e-03
1.199999999999999956e-01,-1.040581309166384305e-02
1.400000000000000133e-01,-1.325355495773865994e-02
1.600000000000000033e-01,-1.636406571384729086e-02
1.799999999999999933e-01,-1.979346928093454749e-02
2.000000000000000111e-01,-2.353751019040791620e-02
