strain,pred_pixel_shifted
2.000000000000000042e-03,-1.994745461207786397e-04
2.000000000000000042e-02,-1.994745461207793336e-03
4.000000000000000083e-02,-4.016918713823453002e-03
5.999999999999999778e-02,-5.825144571493558188e-03
8.000000000000000167e-02,-7.442587768560847417e-03
1.000000000000000056e-01,-9.256445159360429664e-03
1.199999999999999956e-01,-1.089345560875407820e-02
1.400000000000000133e-01,-1.280411089076888276e-02
1.600000000000000033e-01,-1.475534021582951272e-02
1.799999999999999933e-01,-1.690786136332730200e-02
2.000000000000000111e-01,-1.898847335892225180e-02
