strain,pred_pixel_shifted
2.000000000000000042e-03,-1.003106882129789490e-04
2.000000000000000042e-02,-1.003106882129810307e-03
4.000000000000000083e-02,-2.094431357615916811e-03
5.999999999999999778e-02,-3.578474472539137918e-03
8.000000000000000167e-02,-5.370311428284937905e-03
1.000000000000000056e-01,-7.621743438186313890e-03
1.199999999999999956e-01,-1.028331452033803134e-02
1.400000000000000133e-01,-1.358320862727104700e-02
1.600000000000000033e-01,-1.717089882896816189e-02
1.799999999999999933e-01,-2.133055262837179472e-02
2.000000000000000111e-01,-2.589198128372776492e-02
