strain,pred_pixel_shifted
2.000000000000000042e-03,-1.918004941391382445e-04
2.000000000000000042e-02,-1.918004941391396323e-03
4.000000000000000083e-02,-3.875142335253371761e-03
5.999999999999999778e-02,-5.687421801669235999e-03
8.000000000000000167e-02,-7.410129571854738584e-03
1.000000000000000056e-01,-9.139511741275294088e-03
1.199999999999999956e-01,-1.069503686635834422e-02
1.400000000000000133e-01,-1.237508757478212457e-02
1.600000000000000033e-01,-1.410473236138034409e-02
1.799999999999999933e-01,-1.585894872124758714e-02
2.000000000000000111e-01,-1.769600975220907146e-02
